Column1,Sentiment,RealSentiment,TweetID,Date,Query,User,Tweet,VADER_Score,VADER_Compound,VADER_Sentiment,SentiStrengthSentiment,SentiStrengthScore,BERTSentiment,BERTDetails,BERTSentiment1,BERTDetails1,BERTSentiment2,BERTDetails2
38,4,Positive,124,Sat May 16 23:48:15 UTC 2009,stanford,imusicmash,RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR,"{'neg': 0.14, 'neu': 0.65, 'pos': 0.21, 'compound': 0.5267}",0.5267,Positive,Neutral,0,Negative,"tensor([[-0.4171, -0.9668,  0.0038]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2130, -0.7185, -0.0383]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1704, -0.3997, -0.2471]], grad_fn=<AddmmBackward>)"
39,4,Positive,125,Sat May 16 23:58:34 UTC 2009,lyx,drewloewe,"@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane.","{'neg': 0.166, 'neu': 0.698, 'pos': 0.136, 'compound': 0.0102}",0.0102,Neutral,Neutral,0,Positive,"tensor([[-0.0484, -0.6226,  0.2848]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1348, -0.5691,  1.1104]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0004,  0.1545,  0.1870]], grad_fn=<AddmmBackward>)"
40,4,Positive,131,Sun May 17 15:05:03 UTC 2009,Danny Gokey,VickyTigger,"I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)","{'neg': 0.0, 'neu': 0.688, 'pos': 0.312, 'compound': 0.846}",0.846,Positive,Positive,2,Positive,"tensor([[-0.5221, -0.6916, -0.0774]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.2266, -0.1501,  0.5480]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.5631,  0.0050,  0.2924]], grad_fn=<AddmmBackward>)"
41,4,Positive,132,Sun May 17 17:27:45 UTC 2009,sleep,babblyabbie,is going to sleep then on a bike ride:],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Positive,1,Neutral,"tensor([[-0.5089, -0.9672, -0.6746]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.4570, -0.6466,  0.6135]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2225,  0.5121,  0.2685]], grad_fn=<AddmmBackward>)"
42,0,Negative,133,Sun May 17 17:27:49 UTC 2009,sleep,kisjoaquin,cant sleep... my tooth is aching.,"{'neg': 0.39, 'neu': 0.61, 'pos': 0.0, 'compound': -0.4939}",-0.4939,Negative,Negative,-1,Negative,"tensor([[-0.4938, -0.9600, -0.3309]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.2006, -0.2828, -0.1352]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.7533, -0.2906,  0.3796]], grad_fn=<AddmmBackward>)"
43,0,Negative,134,Sun May 17 17:28:02 UTC 2009,sleep,Whacktackular,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess.","{'neg': 0.348, 'neu': 0.652, 'pos': 0.0, 'compound': -0.5267}",-0.5267,Negative,Negative,-1,Neutral,"tensor([[-0.7404, -1.0814, -0.3279]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0200, -0.7138,  0.6493]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.6463, -0.2577, -0.0332]], grad_fn=<AddmmBackward>)"
44,0,Negative,135,Sun May 17 17:29:50 UTC 2009,san francisco,Adrigonzo,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf","{'neg': 0.292, 'neu': 0.575, 'pos': 0.133, 'compound': -0.5574}",-0.5574,Negative,Negative,-1,Negative,"tensor([[-0.8674, -0.6610, -0.2601]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 1.0108, -0.3854,  0.8178]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.4408,  0.0717,  0.6963]], grad_fn=<AddmmBackward>)"
45,2,Neutral,136,Sun May 17 17:30:19 UTC 2009,san francisco,sulu34,is in San Francisco at Bay to Breakers.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.5632, -1.0488, -0.4131]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.2070, -0.5870,  0.2239]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3405, -0.2375, -0.0494]], grad_fn=<AddmmBackward>)"
46,2,Neutral,137,Sun May 17 17:30:23 UTC 2009,san francisco,schuyler,just landed at San Francisco,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.1156, -0.6389,  0.2237]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.2200, -0.4214,  0.4760]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.2721,  0.3152,  0.4116]], grad_fn=<AddmmBackward>)"
47,2,Neutral,138,Sun May 17 17:30:56 UTC 2009,san francisco,MattBragoni,San Francisco today.  Any suggestions?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.6198, -0.6173, -0.2011]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.2673, -0.3413,  0.0028]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.0145,  0.3318,  0.5010]], grad_fn=<AddmmBackward>)"
48,0,Negative,139,Sun May 17 17:32:00 UTC 2009,aig,KennyTRoland,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg,"{'neg': 0.149, 'neu': 0.608, 'pos': 0.243, 'compound': 0.34}",0.34,Positive,Neutral,0,Positive,"tensor([[-0.4458, -0.6795, -0.2125]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.3349, -0.8189,  0.7830]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.3760,  0.2053,  0.5003]], grad_fn=<AddmmBackward>)"
49,0,Negative,140,Sun May 17 17:32:30 UTC 2009,aig,aMild,started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?,"{'neg': 0.098, 'neu': 0.902, 'pos': 0.0, 'compound': -0.3612}",-0.3612,Negative,Negative,-2,Positive,"tensor([[-0.9934, -0.3451, -0.5561]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.8255, -0.0921,  0.1304]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.3089, 0.3634, 0.4279]], grad_fn=<AddmmBackward>)"
