Unnamed: 0,Text,Sentiment,BERTSentiment_kFold,BERTDetails_kFold,BERTSentiment_8020,BERTDetails_8020,VADER_Score,VADER_Compound,VADER_Sentiment
10,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,Neutral,"tensor([[-0.3314, -0.1163, -0.4996]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.1856,  0.4671, -0.3227]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.5267}",0.5267,Positive
11,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,Negative,"tensor([[-0.1898, -0.4998, -0.6479]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1545,  0.6066,  0.1055]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.5574}",0.5574,Positive
12,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,Negative,"tensor([[ 0.0105, -0.2090, -0.5577]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2334,  1.2187,  0.5108]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
13,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,Neutral,"tensor([[-0.6187,  0.1313, -0.6458]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.6788,  1.1549,  0.6205]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.6124}",0.6124,Positive
14,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,Positive,"tensor([[-0.6913,  0.0957, -0.3778]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2472,  0.4059,  0.2679]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
15,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,Neutral,"tensor([[-0.1318, -0.3459, -0.2756]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.0093,  0.0073, -0.2547]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.6124}",0.6124,Positive
16,"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,Negative,"tensor([[ 0.2004,  0.7041, -0.4480]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.3095,  0.2531,  0.1583]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.7269}",0.7269,Positive
17,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,Positive,"tensor([[-0.2280, -0.3803, -0.5960]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1811,  0.5691,  0.2354]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.785, 'pos': 0.215, 'compound': 0.7269}",0.7269,Positive
18,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,Positive,"tensor([[-0.7272,  0.2227,  0.2985]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.1824,  0.1692, -0.1557]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.923, 'pos': 0.077, 'compound': 0.4404}",0.4404,Positive
19,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,Positive,"tensor([[-0.4422,  0.1007, -0.8102]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1648,  0.1092, -0.3105]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
20,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,Negative,"tensor([[-0.4547, -0.3317, -0.7224]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.5209,  0.8608,  0.0403]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.4939}",0.4939,Positive
21,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,Neutral,"tensor([[-0.3862, -0.2648, -0.8453]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.3414,  0.5442, -0.0315]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.81, 'pos': 0.19, 'compound': 0.5719}",0.5719,Positive
22,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive,Neutral,"tensor([[-0.1124, -0.1942, -0.0689]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.0553,  0.6841,  0.6355]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.929, 'pos': 0.071, 'compound': 0.4404}",0.4404,Positive
23,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",positive,Neutral,"tensor([[-0.3624, -0.0317, -1.2938]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3865,  0.7867,  0.0024]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.3182}",0.3182,Positive
24,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,Neutral,"tensor([[-0.4761, -0.1629, -0.2726]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.1126, 0.6125, 0.1090]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.2732}",0.2732,Positive
25,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",positive,Neutral,"tensor([[-0.4956,  0.2811, -0.2762]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.3945,  0.4822,  0.1090]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
26,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",positive,Neutral,"tensor([[ 0.0708, -0.1908, -0.4377]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.2944, 0.4849, 0.5138]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.4404}",0.4404,Positive
27,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",positive,Positive,"tensor([[-0.1138, -0.5132, -0.3825]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.5757,  0.5936,  0.0866]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
28,Sales have risen in other export markets .,positive,Neutral,"tensor([[-0.6731, -0.3808, -0.5052]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0894,  0.6731, -0.0750]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
29,Sales increased due to growing market rates and increased operations .,positive,Neutral,"tensor([[ 0.0815, -0.0754, -0.8053]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.2295,  0.5611, -0.5005]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.576, 'pos': 0.424, 'compound': 0.5994}",0.5994,Positive
30,The agreement strengthens our long-term partnership with Nokia Siemens Networks .,positive,Neutral,"tensor([[-0.0028,  0.3435, -0.0611]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1021, -0.1900,  0.3549]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.592, 'pos': 0.408, 'compound': 0.7351}",0.7351,Positive
31,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",positive,Neutral,"tensor([[-0.2064, -0.2482, -0.4959]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.0708,  0.4154,  0.3634]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
32,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",positive,Neutral,"tensor([[-0.3150,  0.4397, -0.5352]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.0237,  0.3136, -0.3189]], grad_fn=<AddmmBackward>)","{'neg': 0.041, 'neu': 0.845, 'pos': 0.114, 'compound': 0.4019}",0.4019,Positive
33,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,Neutral,"tensor([[ 0.0009,  0.2822, -0.6355]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0384,  0.7897, -0.2301]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.743}",0.743,Positive
34,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",positive,Neutral,"tensor([[-0.1700, -0.3094, -0.0102]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0531,  0.6159, -0.0556]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.852, 'pos': 0.148, 'compound': 0.6808}",0.6808,Positive
35,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,positive,Negative,"tensor([[-0.4329,  0.2603, -0.3373]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.0455, -0.0323,  0.0773]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.6705}",0.6705,Positive
36,"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",positive,Negative,"tensor([[-0.0118, -0.2392, -0.3891]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.5813,  0.7441,  0.5337]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.7506}",0.7506,Positive
37,"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",neutral,Neutral,"tensor([[-0.2330,  0.0878,  0.5590]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.8800,  0.7764,  0.5742]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
38,STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,neutral,Neutral,"tensor([[-0.2787, -0.1084, -0.0821]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.4040,  0.8828,  0.3915]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.8779}",0.8779,Positive
39,"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",neutral,Neutral,"tensor([[-0.4644, -0.4517, -0.1906]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1915,  0.2262,  0.0015]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.296}",0.296,Positive
40,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral,Negative,"tensor([[ 0.0992, -0.2509, -0.3688]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.3697,  0.2387, -0.0622]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
41,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,Neutral,"tensor([[-0.6292,  0.3307, -0.0197]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2082,  0.9599,  0.0261]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.3804}",0.3804,Positive
42,"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",positive,Neutral,"tensor([[-0.4671, -0.1238, -0.1801]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.0484, 0.6340, 0.3809]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
43,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,Neutral,"tensor([[-0.3009, -0.4142, -0.5365]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.0112, 0.5958, 0.0970]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.2732}",0.2732,Positive
44,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",positive,Negative,"tensor([[-0.3725, -0.2290, -0.9110]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.1463, -0.0098,  0.1633]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.931, 'pos': 0.069, 'compound': 0.4404}",0.4404,Positive
45,Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,positive,Neutral,"tensor([[-0.5186, -0.4986, -0.5169]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.4797,  1.0307,  0.2639]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.4404}",0.4404,Positive
46,Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,positive,Neutral,"tensor([[-0.4617, -0.1671, -0.0155]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.7351,  1.0183,  0.2383]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.853, 'pos': 0.147, 'compound': 0.6124}",0.6124,Positive
47,"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",positive,Negative,"tensor([[-0.6948, -0.0681, -0.5201]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.3489,  0.6624,  0.4278]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.4404}",0.4404,Positive
48,"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",positive,Positive,"tensor([[ 0.0254, -0.1531, -0.1980]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1432,  0.4711, -0.0749]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.3182}",0.3182,Positive
49,Net sales of Finnish food industry company L+ñnnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,positive,Negative,"tensor([[-0.1973, -0.3584, -0.1046]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2109,  0.3790, -0.1794]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.93, 'pos': 0.07, 'compound': 0.2732}",0.2732,Positive
50,Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,positive,Neutral,"tensor([[ 0.0475, -0.1277,  0.2823]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.0438,  0.3960, -0.7009]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.768, 'pos': 0.232, 'compound': 0.7227}",0.7227,Positive
51,"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",positive,Neutral,"tensor([[-0.8085, -0.3374, -0.9123]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.3889,  0.6434,  0.0949]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.785, 'pos': 0.215, 'compound': 0.7506}",0.7506,Positive
52,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,Neutral,"tensor([[-0.1886,  0.3002, -0.7565]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.0060,  0.1574, -0.3022]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.2732}",0.2732,Positive
53,Clothing chain Sepp+ñl+ñ 's net sales increased by 7.0 % to EUR 30.8 mn .,positive,Neutral,"tensor([[-0.3542,  0.2301,  0.0564]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.1078,  0.9465, -0.5536]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.2732}",0.2732,Positive
54,Construction volumes meanwhile grow at a rate of 10-15 percent annually .,positive,Neutral,"tensor([[-0.7323,  0.0996, -0.1716]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.0064,  0.3124, -0.2162]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
55,"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",positive,Neutral,"tensor([[-0.3436, -0.4914, -0.2791]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.6733,  0.9816,  0.3574]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.4404}",0.4404,Positive
56,"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",positive,Neutral,"tensor([[-0.6174, -0.1305, -0.5343]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.3235,  0.7845,  0.4282]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
57,"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",positive,Neutral,"tensor([[-0.3550, -0.5140, -0.5892]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.2797, -0.0265, -0.1428]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.4404}",0.4404,Positive
58,"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",positive,Neutral,"tensor([[ 0.4020, -0.2476, -0.1863]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1279,  0.7082,  0.4971]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.928, 'pos': 0.072, 'compound': 0.2732}",0.2732,Positive
59,"International sales rose by 59.8 % to EUR 1,244.4 mn .",positive,Positive,"tensor([[-0.4485, -0.1211,  0.1977]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.0030,  0.6000,  0.0118]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
60,Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,positive,Positive,"tensor([[-0.4453, -0.1862, -1.0150]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1222,  0.6844,  0.1309]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
61,Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,positive,Positive,"tensor([[-0.2519,  0.0416, -0.3052]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2272,  0.2678,  0.0699]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.2732}",0.2732,Positive
62,"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",positive,Positive,"tensor([[ 0.2526, -0.3590, -0.5586]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2591,  0.3863,  0.3431]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.954, 'pos': 0.046, 'compound': 0.0772}",0.0772,Positive
63,"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,Neutral,"tensor([[-0.0617, -0.1542, -0.7012]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.0616, -0.0030,  0.1578]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
64,Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,positive,Neutral,"tensor([[-0.0341,  0.0196, -0.6113]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1900,  0.3698,  0.5305]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.6124}",0.6124,Positive
