Unnamed: 0,Topic,Sentiment,TweetId,TweetDate,TweetText,VADER_Score,VADER_Compound,VADER_Sentiment,SentiStrengthSentiment,SentiStrengthScore,BERTSentiment2,BERTDetails2,BERTSentiment3,BERTDetails3
10,apple,positive,1.26366e+17,Tue Oct 18 18:36:46 +0000 2011,RT @JamaicanIdler: Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to h ...,"{'neg': 0.117, 'neu': 0.646, 'pos': 0.237, 'compound': 0.6209}",0.6209,Positive,Negative,-1,Neutral,"tensor([[-0.0373, -0.0059, -0.4046]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.0529, -0.4874, -0.0584]], grad_fn=<AddmmBackward>)"
11,apple,positive,1.26366e+17,Tue Oct 18 18:35:43 +0000 2011,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol,"{'neg': 0.164, 'neu': 0.604, 'pos': 0.232, 'compound': 0.5216}",0.5216,Positive,Positive,1,Negative,"tensor([[-0.2112,  0.1714, -0.0471]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.0855, -0.0526,  0.4767]], grad_fn=<AddmmBackward>)"
12,apple,positive,1.26361e+17,Tue Oct 18 18:16:09 +0000 2011,"RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!","{'neg': 0.0, 'neu': 0.63, 'pos': 0.37, 'compound': 0.855}",0.855,Positive,Positive,3,Neutral,"tensor([[-0.7574,  0.2917, -0.4758]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.3362, -0.1448,  0.0114]], grad_fn=<AddmmBackward>)"
13,apple,positive,1.2636e+17,Tue Oct 18 18:14:01 +0000 2011,Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple,"{'neg': 0.0, 'neu': 0.586, 'pos': 0.414, 'compound': 0.9186}",0.9186,Positive,Positive,2,Neutral,"tensor([[-0.0834,  0.7043, -0.5026]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1175,  0.0939, -0.0115]], grad_fn=<AddmmBackward>)"
14,apple,positive,1.26358e+17,Tue Oct 18 18:05:50 +0000 2011,"Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!","{'neg': 0.0, 'neu': 0.599, 'pos': 0.401, 'compound': 0.855}",0.855,Positive,Positive,3,Neutral,"tensor([[-0.4949,  0.8490, -0.5640]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1294,  0.3504, -0.0136]], grad_fn=<AddmmBackward>)"
15,apple,positive,1.26358e+17,Tue Oct 18 18:04:25 +0000 2011,你好 ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  ,"{'neg': 0.0, 'neu': 0.782, 'pos': 0.218, 'compound': 0.7707}",0.7707,Positive,Positive,1,Neutral,"tensor([[ 0.3993,  0.7208, -0.6967]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.8998,  0.2939,  0.0613]], grad_fn=<AddmmBackward>)"
16,apple,positive,1.26352e+17,Tue Oct 18 17:41:43 +0000 2011,"Come to the dark side 📱“@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.”","{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.5106}",0.5106,Positive,Negative,-1,Neutral,"tensor([[-1.0881,  0.5816, -0.0522]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.7153, -0.1030, -0.6001]], grad_fn=<AddmmBackward>)"
17,apple,positive,1.2635e+17,Tue Oct 18 17:33:54 +0000 2011,"Hey @apple, if you send me a free iPhone (any version will do), I will publicly and ceremoniously burn my #BlackBerry.","{'neg': 0.0, 'neu': 0.858, 'pos': 0.142, 'compound': 0.5106}",0.5106,Positive,Neutral,0,Neutral,"tensor([[-0.1539,  0.4257, -0.3988]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2786,  0.2540, -0.1901]], grad_fn=<AddmmBackward>)"
18,apple,positive,1.2635e+17,Tue Oct 18 17:31:29 +0000 2011,Thank you @apple for Find My Mac - just located and wiped my stolen Air. #smallvictory #thievingbastards,"{'neg': 0.155, 'neu': 0.725, 'pos': 0.121, 'compound': -0.1779}",-0.1779,Negative,Neutral,0,Neutral,"tensor([[-0.6716,  0.2518, -1.0967]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.2526, 0.2996, 0.0086]], grad_fn=<AddmmBackward>)"
19,apple,positive,1.26342e+17,Tue Oct 18 17:01:58 +0000 2011,"Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty.","{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.4404}",0.4404,Positive,Positive,1,Neutral,"tensor([[-0.4660,  0.7916, -1.1272]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2473, -0.0198,  0.1355]], grad_fn=<AddmmBackward>)"
20,apple,positive,1.26326e+17,Tue Oct 18 15:56:32 +0000 2011,@DailyDealChat @apple Thanks!!,"{'neg': 0.0, 'neu': 0.365, 'pos': 0.635, 'compound': 0.5399}",0.5399,Positive,Positive,1,Neutral,"tensor([[-0.6293,  0.4797, -0.1419]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.6506,  0.0699, -0.3619]], grad_fn=<AddmmBackward>)"
21,apple,positive,1.26324e+17,Tue Oct 18 15:50:05 +0000 2011,iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Neutral,"tensor([[-0.0269,  0.7397, -0.3364]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.8521,  0.4068,  0.1504]], grad_fn=<AddmmBackward>)"
22,apple,positive,1.26324e+17,Tue Oct 18 15:48:32 +0000 2011,@apple..good ipad,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Positive,1,Neutral,"tensor([[-0.0493,  0.2747, -0.1943]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-1.0236, -0.3135, -0.3635]], grad_fn=<AddmmBackward>)"
23,apple,positive,1.26322e+17,Tue Oct 18 15:41:41 +0000 2011,@apple @siri is efffing amazing!!,"{'neg': 0.0, 'neu': 0.477, 'pos': 0.523, 'compound': 0.658}",0.6579999999999999,Positive,Positive,3,Negative,"tensor([[-0.1168,  0.9608, -0.8011]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.6893, -0.2802, -0.1496]], grad_fn=<AddmmBackward>)"
24,apple,positive,1.26319e+17,Tue Oct 18 15:30:15 +0000 2011,Amazing new @Apple iOs 5 feature.  http://t.co/jatFVfpM,"{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.5859}",0.5859,Positive,Positive,2,Neutral,"tensor([[-0.4199,  0.8271, -0.8354]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1418,  0.2949, -0.4987]], grad_fn=<AddmmBackward>)"
25,apple,positive,1.26318e+17,Tue Oct 18 15:25:35 +0000 2011,"RT @TripLingo: We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z","{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.5093}",0.5093,Positive,Positive,2,Neutral,"tensor([[-0.2159,  1.3051, -0.5484]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.5882,  0.2290,  0.0236]], grad_fn=<AddmmBackward>)"
26,apple,positive,1.26315e+17,Tue Oct 18 15:14:30 +0000 2011,"We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z","{'neg': 0.0, 'neu': 0.81, 'pos': 0.19, 'compound': 0.5093}",0.5093,Positive,Positive,2,Neutral,"tensor([[ 0.4658,  0.1407, -0.2209]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2738,  0.0332,  0.4380]], grad_fn=<AddmmBackward>)"
27,apple,positive,1.26315e+17,Tue Oct 18 15:13:40 +0000 2011,"When you want something done right, you do it yourself... or go to @Apple. AT&T you're useless these days. #yourdaysarenumbered

","{'neg': 0.121, 'neu': 0.823, 'pos': 0.056, 'compound': -0.3612}",-0.3612,Negative,Negative,-2,Neutral,"tensor([[-0.3152,  0.8295, -0.7124]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1523, -0.5755, -1.1337]], grad_fn=<AddmmBackward>)"
28,apple,positive,1.26315e+17,Tue Oct 18 15:12:22 +0000 2011,We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16,"{'neg': 0.0, 'neu': 0.83, 'pos': 0.17, 'compound': 0.6249}",0.6249,Positive,Positive,2,Neutral,"tensor([[ 0.1513,  0.5450, -0.3228]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.4883, -0.2223,  0.2030]], grad_fn=<AddmmBackward>)"
29,apple,positive,1.26313e+17,Tue Oct 18 15:05:11 +0000 2011,&lt;3 #ios5 @apple,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Neutral,"tensor([[-0.1293,  0.8474, -0.0684]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2213, -0.1870, -0.0998]], grad_fn=<AddmmBackward>)"
30,apple,positive,1.26312e+17,Tue Oct 18 15:01:37 +0000 2011,---» RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?,"{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.296}",-0.29600000000000004,Negative,Neutral,0,Neutral,"tensor([[-0.6103,  0.3159, -1.0586]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.6491, -0.0453,  0.1204]], grad_fn=<AddmmBackward>)"
31,apple,positive,1.26308e+17,Tue Oct 18 14:45:01 +0000 2011,RT @imightbewrong: I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   : ...,"{'neg': 0.068, 'neu': 0.675, 'pos': 0.257, 'compound': 0.7841}",0.7841,Positive,Neutral,0,Neutral,"tensor([[ 0.0512, -0.0624, -0.4206]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.2823, -0.1068, -0.1873]], grad_fn=<AddmmBackward>)"
32,apple,positive,1.26303e+17,Tue Oct 18 14:24:38 +0000 2011,I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   :)  Way to go @Apple!,"{'neg': 0.061, 'neu': 0.606, 'pos': 0.334, 'compound': 0.8876}",0.8876,Positive,Neutral,0,Neutral,"tensor([[ 0.0714,  0.5698, -0.9256]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.4811, -0.5188, -0.7170]], grad_fn=<AddmmBackward>)"
33,apple,positive,1.26302e+17,Tue Oct 18 14:21:47 +0000 2011,@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Neutral,"tensor([[0.2292, 0.3938, 0.2000]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.2557, -0.2227, -0.3129]], grad_fn=<AddmmBackward>)"
34,apple,positive,1.26288e+17,Tue Oct 18 13:24:57 +0000 2011,At the bus with my iPhone ;) thxx @apple,"{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0.2263}",0.2263,Positive,Neutral,0,Neutral,"tensor([[-0.2329,  0.8582, -0.2659]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.0527, 0.1480, 0.3167]], grad_fn=<AddmmBackward>)"
35,apple,positive,1.26285e+17,Tue Oct 18 13:12:27 +0000 2011,"@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app.","{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.2732}",0.2732,Positive,Neutral,0,Neutral,"tensor([[-0.7375,  0.1322, -0.5130]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.1646, -0.0387, -0.1433]], grad_fn=<AddmmBackward>)"
36,apple,positive,1.26264e+17,Tue Oct 18 11:50:18 +0000 2011,NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad,"{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.4019}",0.4019,Positive,Neutral,0,Neutral,"tensor([[-0.2785,  0.3095, -0.3511]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.8848,  0.2385, -0.2738]], grad_fn=<AddmmBackward>)"
37,apple,positive,1.26256e+17,Tue Oct 18 11:20:05 +0000 2011,@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.636}",0.636,Positive,Positive,2,Neutral,"tensor([[-0.3479,  0.6504, -0.5734]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2187, -0.0073, -0.0025]], grad_fn=<AddmmBackward>)"
38,apple,positive,1.26213e+17,Tue Oct 18 08:29:38 +0000 2011,@blackberry is like the #Titanic and it seems everyone is running for the @apple #iPhone life rafts and there won't be enough for everyone!,"{'neg': 0.0, 'neu': 0.892, 'pos': 0.108, 'compound': 0.4199}",0.4199,Positive,Positive,2,Neutral,"tensor([[-0.1966,  0.3018, -0.0635]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3700, -0.0979, -0.3238]], grad_fn=<AddmmBackward>)"
39,apple,positive,1.26196e+17,Tue Oct 18 07:18:51 +0000 2011,@bkad5161 than apologize to @apple ;),"{'neg': 0.0, 'neu': 0.548, 'pos': 0.452, 'compound': 0.3182}",0.3182,Positive,Neutral,0,Neutral,"tensor([[ 0.0491,  0.4415, -0.1509]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2280, -0.1689, -0.1678]], grad_fn=<AddmmBackward>)"
40,apple,positive,1.26183e+17,Tue Oct 18 06:30:27 +0000 2011,@Apple downloads of iOS 5 are proving popular with users  -- http://t.co/NSHLfiUX,"{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.4215}",0.4215,Positive,Neutral,0,Neutral,"tensor([[-0.2938,  0.5592, -0.3478]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.4045, 0.0608, 0.0887]], grad_fn=<AddmmBackward>)"
41,apple,positive,1.2618e+17,Tue Oct 18 06:18:01 +0000 2011,"Lmfao look at the argument I had with Siri !!
@ijustine @apple http://t.co/D4VjL7SI","{'neg': 0.142, 'neu': 0.626, 'pos': 0.232, 'compound': 0.3786}",0.3786,Positive,Negative,-2,Neutral,"tensor([[-0.3970, -0.1159, -0.1806]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3908, -0.0790, -0.5063]], grad_fn=<AddmmBackward>)"
42,apple,positive,1.26164e+17,Tue Oct 18 05:15:18 +0000 2011,Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4404}",0.4404,Positive,Neutral,0,Neutral,"tensor([[ 0.0836,  0.5686, -0.7206]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.4056, -0.0831, -0.1094]], grad_fn=<AddmmBackward>)"
43,apple,positive,1.26149e+17,Tue Oct 18 04:12:45 +0000 2011,Save me from #HP's unwanted OS! Help me buy an #iPhone! I have seen the light! #lol http://t.co/8gUP9Acz #backchannel @apple,"{'neg': 0.069, 'neu': 0.582, 'pos': 0.349, 'compound': 0.826}",0.826,Positive,Positive,2,Neutral,"tensor([[-0.0739,  0.7303, -0.5202]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2157, -0.1011, -0.5314]], grad_fn=<AddmmBackward>)"
44,apple,positive,1.26141e+17,Tue Oct 18 03:41:23 +0000 2011,Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now,"{'neg': 0.102, 'neu': 0.606, 'pos': 0.292, 'compound': 0.6124}",0.6124,Positive,Neutral,0,Neutral,"tensor([[-0.6304,  0.7971, -0.7213]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.0504, -0.2951, -0.3731]], grad_fn=<AddmmBackward>)"
45,apple,positive,1.26134e+17,Tue Oct 18 03:15:59 +0000 2011,Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -,"{'neg': 0.09, 'neu': 0.91, 'pos': 0.0, 'compound': -0.2905}",-0.2905,Negative,Neutral,0,Neutral,"tensor([[-0.0028,  1.0313, -0.8264]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.0252,  0.2255, -0.3288]], grad_fn=<AddmmBackward>)"
46,apple,positive,1.26131e+17,Tue Oct 18 03:02:26 +0000 2011,you are so blessed. @apple,"{'neg': 0.0, 'neu': 0.445, 'pos': 0.555, 'compound': 0.7177}",0.7177,Positive,Positive,1,Neutral,"tensor([[-0.0805,  1.2932, -0.7890]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3337,  0.0708, -0.5820]], grad_fn=<AddmmBackward>)"
47,apple,positive,1.26117e+17,Tue Oct 18 02:06:26 +0000 2011,"#Siri now knows who my dad, mom, brother and girlfriend is.  Thanks @apple","{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.4404}",0.4404,Positive,Positive,1,Neutral,"tensor([[-0.4513,  0.1101, -0.4239]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2015,  0.0604, -0.3025]], grad_fn=<AddmmBackward>)"
48,apple,positive,1.26117e+17,Tue Oct 18 02:05:18 +0000 2011,Well at least the @apple store has amazing call waiting music! #need4s,"{'neg': 0.0, 'neu': 0.618, 'pos': 0.382, 'compound': 0.7345}",0.7345,Positive,Positive,3,Neutral,"tensor([[0.3004, 0.4050, 0.1798]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1102, -0.1874,  0.4478]], grad_fn=<AddmmBackward>)"
49,apple,positive,1.26113e+17,Tue Oct 18 01:50:17 +0000 2011,#sweet... #apple replaced my glass #probono. thank you @apple,"{'neg': 0.0, 'neu': 0.56, 'pos': 0.44, 'compound': 0.6705}",0.6705,Positive,Positive,1,Neutral,"tensor([[ 0.2170,  0.5866, -0.3588]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.4401, -0.1328, -0.0241]], grad_fn=<AddmmBackward>)"
50,apple,positive,1.26108e+17,Tue Oct 18 01:30:56 +0000 2011,Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.484}",0.484,Positive,Positive,1,Neutral,"tensor([[-0.0329,  0.7309,  0.3352]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.3295, -0.4156, -0.3525]], grad_fn=<AddmmBackward>)"
51,apple,positive,1.26105e+17,Tue Oct 18 01:18:05 +0000 2011,"loving new technology from @apple iPhone 4s, mac air and iCloud are unreal #technology","{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.5994}",0.5994,Positive,Positive,3,Neutral,"tensor([[ 0.1170,  0.7206, -0.8943]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.4269,  0.1335, -0.5554]], grad_fn=<AddmmBackward>)"
52,apple,positive,1.26097e+17,Tue Oct 18 00:49:03 +0000 2011,I'm loving this new IOS5 update :) @apple,"{'neg': 0.0, 'neu': 0.465, 'pos': 0.535, 'compound': 0.7845}",0.7845,Positive,Positive,3,Neutral,"tensor([[ 0.0682,  1.0900, -0.3155]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.7236, -0.2247,  0.0128]], grad_fn=<AddmmBackward>)"
53,apple,positive,1.26096e+17,Tue Oct 18 00:42:22 +0000 2011,Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...,"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.6249}",0.6249,Positive,Positive,2,Neutral,"tensor([[-0.3773,  0.5183, -0.3670]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.1585, -0.2382, -0.0189]], grad_fn=<AddmmBackward>)"
54,apple,positive,1.26085e+17,Mon Oct 17 23:59:19 +0000 2011,Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.,"{'neg': 0.08, 'neu': 0.804, 'pos': 0.116, 'compound': 0.2449}",0.2449,Positive,Positive,1,Neutral,"tensor([[-0.4261,  0.6778, -0.3339]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0040, -0.0176,  0.3402]], grad_fn=<AddmmBackward>)"
55,apple,positive,1.26079e+17,Mon Oct 17 23:37:29 +0000 2011,hey @apple I hate my computer i need a #mack wanna send me a free one.,"{'neg': 0.176, 'neu': 0.667, 'pos': 0.157, 'compound': -0.1027}",-0.1027,Negative,Negative,-2,Neutral,"tensor([[-0.8213, -0.0618, -0.6232]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.5646, -0.4582, -0.0758]], grad_fn=<AddmmBackward>)"
56,apple,positive,1.26077e+17,Mon Oct 17 23:26:52 +0000 2011,Thank you @apple. My new gf(iphone4s) is great!  She does everything!,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.8011}",0.8011,Positive,Positive,3,Neutral,"tensor([[-0.4714,  0.5816, -0.3269]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0119, -0.3939,  0.1533]], grad_fn=<AddmmBackward>)"
57,apple,positive,1.26076e+17,Mon Oct 17 23:24:52 +0000 2011,#iCloud set up was flawless and works like a champ! To the Cloud @Apple,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.8478}",0.8478,Positive,Positive,2,Neutral,"tensor([[ 0.2412,  0.6210, -0.4067]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.2618,  0.1047, -0.5453]], grad_fn=<AddmmBackward>)"
58,apple,positive,1.26076e+17,Mon Oct 17 23:22:04 +0000 2011,@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!,"{'neg': 0.0, 'neu': 0.774, 'pos': 0.226, 'compound': 0.6588}",0.6588,Positive,Positive,3,Neutral,"tensor([[-0.0907,  0.2173, -0.7521]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.8955,  0.2528, -0.5768]], grad_fn=<AddmmBackward>)"
