,Unnamed: 0,Unnamed: 0.1,Tweet ID,Sentiment,Tweet,trinary_sentiment,Bert Sentiment,SentiStrength Sentiment,SentiStrength Score
17,17,7751,635432599150686000,negative,"""@agitpapa  To be fair the worst escapists, d 1st to cut &amp; run, have been Christians, closely followed by Sunnis. Alawis have escaped d least""",0,negative,Negative,-2
18,18,433,622135158691504000,neutral,"""May your heart rest in the beautiful paradise of Allah, my prayer for the Gombe and Damaturu victims of Boko Haram #Nigeria @APCNigeria PDP""",1,positive,Positive,2
19,19,13589,640243554221170000,neutral,1st dress in this is McQueen from his very last collection I wore it to the MTV awards w/ 3 discharged gay soldiers.,1,neutral,Negative,-1
20,20,1163,623561325671784000,negative,Brock Lesnar.. Attacking me on Monday Night Raw was indeed the biggest mistake you've ever made.. Listen here son. This is not The Deadman-,0,negative,Negative,-2
21,21,18339,675754909275430000,negative,"""May the hammer of thor fall on the head of any @ManUtd player that tweets some shit like """".....we failed the fans,but we have to move on""""""",0,negative,Negative,-1
22,22,18312,675640318658658000,negative,"""Saturday doesn't feel special compared to other week days, when Milan is not playing and the Brazilian league is finished.""",0,negative,Positive,1
23,23,15279,641188496506417000,neutral,black    holacost   Christians   how  many   of  !  gave   praise  to   Jesus   sunday   do  research  .  he   was   a  muslim   prophet,1,positive,Positive,2
24,24,4021,629479815033266000,positive,"""John Kasich, I may not agree with you but I now have no doubt the I respect you immensely""",2,positive,Positive,1
25,25,6307,633310368983613000,neutral,@mandychoccy are you and the girls still coming down on Sat? Beth can order the Paper Towns tickets on Thurs if so.,1,neutral,Neutral,0
26,26,4843,630817420983189000,neutral,"""Frank Gifford was 'Monday Night' magic behind the mic, always http://t.co/QVMTmOfkgy""",1,positive,Neutral,0
27,27,2973,626910410176864000,negative,Chuck Norris was born of the Greek gods Ares and Hermes in a grand session of buttsecks that may never be equaled.,0,positive,Positive,1
28,28,2238,625432196095078000,positive,Catching up on films tomorrow with 2nd watch of Ant-Man in 3D. Then 1st watch of Maggie and Southpaw.#Southpaw #Films http://t.co/piIvrCj6th,2,positive,Neutral,0
29,29,13866,640386997987639000,positive,Here's a screenshot of Tommy's 1st conversation with Big Brother inside the confession room! #PBBTommy @esguerratommy http://t.co/LZyp2JHHo0,2,neutral,Negative,-2
30,30,15011,641041338214019000,neutral,Murray box reaction to winning the 3rd set #USOpen - Kim Sears and Frank Lampard make an appearance. http://t.co/EJiqDSe6Xj,1,neutral,Positive,1
31,31,15327,641226315677306000,neutral,Modric and Kovacic return to Madrid training after Croatia loss: Real Madrid trained on Monday afternoon with ...  http://t.co/4EpBavQaQV,1,neutral,Negative,-2
32,32,10421,638111525547450000,negative,And thus ended Scott walker's run. Don't try to out Trump the Donald.  https://t.co/4H0oQqkVUv,0,neutral,Neutral,0
33,33,327,621446934130257000,positive,In #Toronto for the #PanAmGames?  Wanna party Gangnam Style with 100's of Kpop fans? See you Friday night. https://t.co/6bv2MA8YQS  #PanAm,2,neutral,Neutral,0
34,34,1027,623193591628828000,positive,"""Hy-Vee Shoppers! We have a great deal coming on Thursday for you! Thursday, July 23rd is National Hot Dog Day. So... http://t.co/Al8WgHOUsb""",2,positive,Positive,3
35,35,16257,661919266778804000,negative,"""Here's the shower who Fine Gael and Unionists commissioned to do """"report"""" on IRA in advance of #ge16 https://t.co/Q51gCcX4rr #sinnfein #vinb""",0,neutral,Neutral,0
36,36,7458,634973527293038000,neutral,@KonohasHokage *he sighs and gets on his knees and hugs him and his starts to tear up* Naruto... C'mon! I know you can beat this! You can't+,1,neutral,Positive,1
37,37,5999,632823650438238000,neutral,Shouts out to the atheists who - every Sunday - rant about Christians suddenly loving God on Sundays.,1,neutral,Positive,3
38,38,18422,675967387309580000,positive,We are no way losing it! C'mon you little monsters ! #MTVStars Lady Gaga https://t.co/S829NN2OIu,2,positive,Negative,-2
39,39,19677,679546140761534000,positive,"""Not much love for the Infamous challenge run today, but had some fun and some viewers during Dark Souls II! That'll resume on Saturday.""",2,positive,Positive,2
40,40,16099,660279857495072000,neutral,"""Thor said Thursday during press conf that he had tricks up his sleeve for tonight. It was the Warthen slider, he relied on it heavily 3 IP+""",1,neutral,Negative,-1
41,41,19461,678964785380114000,positive,Live ass Kendrick concert with my boy Harper lastnight live ass Rockets game with my boy Woodley Saturday NS won my weekend was great,2,positive,Positive,2
42,42,16340,662665573793402000,positive,You Win Again - The Story of the Bee Gees Thu 19 Nov | 8pm  THE STORY OF THE BEE GEES! This incredible musical... https://t.co/MEmVXFKAyq,2,positive,Positive,1
43,43,7087,634549482852450000,positive,If anyone wants to come with me to Jason Aldean tomorrow night I have a FREE TICKET,2,neutral,Neutral,0
44,44,13014,639851214763507000,positive,You know you're gonna have a good ass Friday when gucci and jeezy release a song together,2,positive,Positive,1
45,45,16381,663070390177034000,positive,"""lots of studying to do tomorrow so goodnight I love all you kiddos &amp; my sunshines hayley atwell, chris evans &amp; seb stan x""",2,positive,Positive,2
46,46,2812,626574242855829000,neutral,Wearing my Seth Rollins shirt for the 2nd time ever lol,1,positive,Positive,1
47,47,7685,635309064029872000,negative,"""@DavidTDragonite Well there you go, John Cena inspires people to kill themselves. I may do a review of the show""",0,neutral,Positive,1
48,48,13978,640477600326877000,positive,"""Today, as Islam and Christianity clash, honest study of the White Mughals of India gives reason for hope http://t.co/olpZ2G6t7a""",2,positive,Positive,1
49,49,12326,639310716000825000,positive,tmh change my mind when Niall waved at my section was the 2nd best day of my life after otra when I heard through the dark live,2,positive,Positive,1
50,50,4351,630166118947131000,neutral,A little country on a Saturday Night with Jason Aldean and Kenny Chesney http://t.co/TTNhbqbje8,1,neutral,Neutral,0
51,51,7781,635482388575952000,neutral,@god  in the pub on a Sunday but.. I am sat next to some Christians #doesthatcount #atheist #cheersforthethunderstorm,1,neutral,Neutral,0
52,52,9068,636722845599469000,neutral,"""if anyone brings me Dunkin iced coffee tomorrow, you'd be my hero""",1,positive,Positive,2
53,53,16362,662855171894972000,neutral,@TheVampsPH @BYEROPE may I please have the picture of the seatplan for The Vamps Concert please,1,neutral,Positive,1
54,54,5885,632604774202871000,neutral,Did you know that 'Josh Hamilton' was Trending Topic on Friday 14 for 4 hours in Dallas-Ft. Worth? http://t.co/zG5BTuDf72 #trndnl,1,neutral,Neutral,0
55,55,322,621413107907317000,positive,"""National Hot Dog Day is July 23, come join us for the all American celebration.""",2,positive,Positive,1
56,56,5407,631879288569008000,negative,"""Just saw Scott Walker call Hillary the """"Deciever in Chief"""".  Yes. Today is Throw Up Thursday.""",0,neutral,Neutral,0
57,57,4189,629826086289965000,neutral,"""Seeing Ant-Man tomorrow, flat, it just isn't worth $40 *more* to see it in 3D. We'll just have to use our imaginations.""",1,negative,Neutral,0
58,58,14782,640984309671833000,neutral,"""Tomorrow on D&amp;C we will speak with Tom Brady, react to his dad's domination of Chip Franklin &amp; discuss to Kirk's evisceration of Peter King.""",1,neutral,Negative,-1
59,59,1475,623930932119126000,positive,Prince George is a cancer too @MichellineG! We really are the best.  https://t.co/ofOwPjYCHu,2,positive,Negative,-3
60,60,35,620125231164715000,positive,Sun setting on the Columbia river while the Zac Brown Band wails out Homegrown!#theshit http://t.co/EfHwVT56mj,2,positive,Negative,-2
61,61,14652,640914895593037000,neutral,"""First Weekend takeaways: Tom Brady received no bump at all from judge's ruling. Even without suspension, he's still the 9th-10th QB taken.""",1,neutral,Negative,-1
62,62,15750,641437213985665000,positive,"""Wow, the Red Sox pitcher is the definition of """"On Tilt"""" here in the 10th. Crazy how that balk happened.""",2,neutral,Negative,-1
63,63,6467,633476370241294000,neutral,#RAW This Sunday Brock Lesnar will remember Undertaker the same way WWE remembers Hulk Hogan,1,neutral,Neutral,0
64,64,7178,634692916737351000,neutral,"""Music Friday: Rolling Stone magazine recently named Andra Day one of the """"10 New Artists You Need to Know,"""" and... http://t.co/ZlNifcUKLw""",1,neutral,Neutral,0
65,65,7588,635194114699599000,neutral,@gary302 agreed. Pay 30mill for Kane now or watch him bag 20+ and pay 50 mill in Jan ? The other 2 are going nowhere.,1,neutral,Neutral,0
66,66,5391,631870376893673000,neutral,Dustin Johnson at the top of the leaderboard ! Dammit I guess that means it's only Thursday !!!! #nottheweekend #PGA,1,positive,Positive,1
67,67,586,622806865605320000,positive,"""Thursday July 23rd is National Hot Dog Day!   What a better way than having one """"All the Way?"""" http://t.co/w8Cg8bX53D""",2,positive,Positive,1
68,68,14457,640769554365345000,neutral,Might go get a PS4 with @KingKlutchh tomorrow,1,neutral,Neutral,0
69,69,11512,638714448467873000,positive,Transgender is a difficult subject but it has been timed well with the Caitlyn Jenner thing so that may give it some appeal.,2,neutral,Negative,-1
70,70,19068,677862225302839000,negative,Won't be long before people will be trying to tell us Saudi Arabia and Iran have nothing to do with Islam https://t.co/AYT51YVcGw,0,neutral,Neutral,0
71,71,18169,675117996369670000,negative,i probably failed my exam today but at least i was the 5th like on Kim Kardashian's insta pic,0,neutral,Negative,-1
72,72,18370,675827323023831000,neutral,"""From possessed nuns tonight to the Twilight of the gods tomorrow. Time for bed. Good night, bonne nuit, bona nit, gute Nacht""",1,neutral,Positive,1
73,73,17678,673044677080260000,positive,If I had the finances I'd go see Kendrick Lamar ko Houston ka di 20 Dec watseba.,2,neutral,Neutral,0
74,74,20282,681187321887076000,neutral,https://t.co/ozTi5f5eFe Who will be the new Top Gear presenters to join Chris Evans in ... https://t.co/IK25UChEZq #ChrisEvans,1,neutral,Neutral,0
75,75,11071,638438580080128000,neutral,@amitkriit may be what u want to ask me is what is the punishment for blasphemy in Pakistan?That has nothing to do with the prophet's Islam,1,negative,Negative,-1
76,76,7772,635471016978845000,neutral,John Cena about to take time from ESPN's riveting golf discussion! C'mon ESPN wrestling is fake! Talk about golf more it's the real!,1,neutral,Negative,-1
77,77,16617,665331173296484000,negative,"""@Sam_Kotrba No, just no. This is after the Charlie Hebdo massacre... In January.        https://t.co/vi4OKUpTFw""",0,negative,Negative,-1
78,78,8538,636129538045542000,positive,@NiallOfficial Hello Niall i love you so much you make me smile make me better may you please kindly follow me i hope you have a fab day 3,2,positive,Positive,2
79,79,1905,624589457908465000,neutral,"""@thelastleg #isitok that 'potato' was screamed at Irish golfer, Paul Dunne, while he was about to take a shot on the 18th? #wanker""",1,neutral,Negative,-3
80,80,18163,675108813586984000,positive,"""Cate Blanchett in the Marvel universe? Oh, we would LOVE this. https://t.co/rBHTeWKrXj""",2,positive,Positive,2
81,81,15785,641445967141711000,negative,"""@dorisovotes @GovMikeHuckabee People may throw Christians in jail&amp; punish bodies, but they can't take away the Lord. https://t.co/IbHDtlElco""",0,negative,Negative,-1
82,82,6417,633441538652176000,neutral,"""It's $125 for the Seth Rollins meet and greet on Friday. Seth, I love you and all and your my favorite wrestler but HELL NO""",1,neutral,Positive,1
83,83,20316,681244480398331000,negative,"""@NorthernLight @stardust193 It may surprise you, but more Palestinians have died at the hands of Hamas, than from any response from Israel!""",0,negative,Positive,1
84,84,16182,661076539946237000,neutral,Jerm &amp; Curtis record a scene from the women's march for Zuma for City Press. https://t.co/g9ipe50jKu,1,neutral,Neutral,0
85,85,1944,624713379609866000,neutral,"""Is anyone else going to the Kenney Chesney, Jason Aldean concert tomorrow? Maybe we can tailgate?""",1,neutral,Neutral,0
86,86,17170,668939996448079000,positive,"""@LeahNCurtis you live dangerously Curtis! (Say I, fro the hotel bar, with tech tomorrow)""",2,positive,Negative,-2
87,87,16475,664045469442646000,negative,Ex-soldier arrested over Bloody Sunday. Sure he will get a letter of immunity like the IRA killers from same era...... not,0,negative,Positive,1
88,88,5045,631155384984604000,neutral,"""Remember when Pain was a just shadowy figure? We all speculated he was Naruto's dad. Boom, we see the true 4th Hokage during their fight.""",1,neutral,Negative,-1
89,89,8349,635959734202331000,positive,I can't describe what watching David Wright homer in his 1st AB just felt like. On The Captain's @mets return: http://t.co/E69vgTANXA #mets,2,neutral,Positive,1
90,90,17584,672444474300043000,negative,"""Tony Blair! more like... Baloney Tear?!?! you may notice from my incredulous tone, and use of insulting wordplay, that """"the gloves are off,""""""",0,negative,Negative,-1
91,91,15404,641280141595807000,neutral,Sam Smith recorded Spectre's James Bond theme 'Writing's on the Wall' way back in January: If you ever want so... http://t.co/ImvT7GVJiX,1,neutral,Neutral,0
92,92,11330,638548727104274000,neutral,Wait really though does anyone want to go to Dallas on Saturday to see Ed Sheeran?,1,neutral,Neutral,0
93,93,11399,638596085083037000,neutral,"""T-Swift's """"Bad Blood"""" playing in the bottom of the 11th at the Giants-Dodgers game. Must have been an accident...""",1,neutral,Neutral,0
94,94,12919,639777692162756000,neutral,Kane: I'm no flash in the pan: Harry Kane can understand why people may say he could be a 'o... http://t.co/kUTRJdREal #soccer #football,1,neutral,Neutral,0
95,95,15138,641096279930507000,neutral,I just found out Naruto didn't become the 5th Hokage....,1,neutral,Neutral,0
96,96,19344,678623700036542000,neutral,For our Sunday we have......we have the computer hooked up and I have a little time on it this morning.  Bee Gees... https://t.co/EEMDg0X5dv,1,neutral,Neutral,0
97,97,6925,634364842200170000,positive,It does look as if George Osborne had his 21st in the old viewing lounge at Windsor. http://t.co/u5AQ1AXvDL,2,neutral,Neutral,0
98,98,5561,632065592015458000,positive,my manga phase started in 3rd grade with Naruto and honestly I don't think it's ended https://t.co/OCLnvn888N,2,neutral,Neutral,0
99,99,18265,675463081879736000,positive,"""..now disappeared, sun gone for the day. Twilight with soft skies to say goodbye to Friday.  We must all remember we are blessed. #GodsWorld""",2,positive,Positive,1
100,100,8238,635900808459108000,positive,Welcome back to the squad David Wright who is batting 4th tonight. #LetsGoMets,2,positive,Positive,1
101,101,8364,635964645703090000,neutral,"""Sorry David Wright, this night belongs to the GOAT #HistoryWithAnExclamationPoint https://t.co/QBb20DnZ9x""",1,neutral,Neutral,0
102,102,20278,681182530725359000,positive,Chris Evans says goodbye to TFI Friday as he moves into Top Gear for new motoring show https://t.co/IcOkMD0PeL https://t.co/Uox99VoElk,2,neutral,Neutral,0
103,103,15561,641351152785756000,neutral,@khalilj_2 @FunniestVines I thought it may have been about John Cena,1,positive,Neutral,0
104,104,7316,634824512597463000,negative,why is the sun out???? where is frank ocean????? why do I have no plans for tonight?????????,0,neutral,Neutral,0
105,105,15428,641292853927354000,neutral,"""Sam Smith to sing title song for """"Spectre"""" the new James Bond film, Sony confirms. Song out 9-25; movie on Nov. 6.""",1,neutral,Neutral,0
106,106,15647,641395794780647000,neutral,Ellen's 13th season premiere with Caitlyn Jenner.  #ellen  #caitlynjenner #theellenshow @Caitlyn_Jenner @TheEllenShow,1,positive,Neutral,0
107,107,20566,681702326034276000,negative,kingpin Saudi Arabia posted a record $98 billion budget deficit in 2015 due to the sharp fall in oil prices finance ministry said on Monday,0,neutral,Negative,-1
108,108,15066,641058048505548000,positive,I'm so blessed I've been able to reunite with Nash and see all the other boys this past weekend and I get to see Shawn live for the 1st time,2,positive,Positive,1
109,109,6332,633348637708435000,neutral,Had a horrible day at work so I'm in the bath listening to Frank Ocean... what do you mean it's only Monday?,1,negative,Negative,-3
110,110,3579,628369818886877000,neutral,"""Update: Still raining. In the meantime, you can read about how Kris Bryant's view on sliding may have changed Sunday: http://t.co/GyGUaUjBMW""",1,neutral,Neutral,0
111,111,3886,629134263145902000,positive,Baron Corbin might actually have the 2nd best job in the world next to Brock Lesnar   Arrive Squash/Get Paid Leave Repeat,2,positive,Positive,1
112,112,3043,627027229134884000,neutral,"""Is it fair? Both print as well as TV Media reacts 2 Yakub's coverage, it's big picture as 2nd headline 4 Kalam's http://t.co/x06dBPZfiM""",1,neutral,Neutral,0
113,113,606,622816170404651000,neutral,"""2015 #TheOpen : Paul Dunne ( A )   co-leader with -12 , Hile 17 in R3 on July 19  at The Old Course in St Andrews, Scotland,Play in progress""",1,neutral,Neutral,0
114,114,17290,669969935909658000,neutral,"""@GodWithHammer ~saw a son in him unlike Thor...Thor, when Loki though about his brother, a frown appeared on his face. He may be hating ~""",1,neutral,Negative,-3
115,115,14222,640625251567673000,neutral,Brewers Video: Ryan Braun hits 25th HR of season as 6-game win streak ends with 6-3 loss against Reds (ESPN) http://t.co/jNg4xEDJvk,1,neutral,Negative,-2
116,116,19931,680382223908868000,neutral,All the 3 Indian workers (tortured in Saudi) are reaching Trivandrum from Saudi Arabia by Flt FZ 439 at 02.30 hrs on 26 Dec 2015: @MEAIndia,1,neutral,Negative,-3
117,117,3519,628291883979005000,positive,Great to see David Price tie Blue Jays strike out record as 1st time hurler for Jays who tighten wild card race with big win over Minn.,2,positive,Positive,1
118,118,6562,633654158940237000,neutral,Isaiah Thomas tweeted that he worked out with Floyd Mayweather on Tuesday.,1,neutral,Neutral,0
119,119,9047,636708936939233000,neutral,So far Chris Sale is sitting at 5th place for White Sox single season k leaders with 227.,1,neutral,Neutral,0
120,120,11832,638930752852242000,positive,Happy birthday @KianLawley yay 1 more year before you can drink lol happy 20th birthday to gay is my little brothers birthday he is 4 love u,2,positive,Positive,1
121,121,9584,637304779710984000,negative,Dean Ambrose Want the UGLY (#WyattFamily)one on Friday Night #SmackDown.BUT I confused which one the UGLY ONE..I mean the all are UGLY !,0,neutral,Negative,-3
122,122,8279,635922077476913000,positive,"""For the first time since April 14th, tonight for the New York Mets- batting cleanup, playing third base, the captain, number 5: David Wright""",2,neutral,Positive,1
123,123,13373,640089474395934000,neutral,"""@pianoman_85 Such a shit argument. Big Brother gets millions of viewers, the Sun has millions of readers. Doesn't make them quality""",1,negative,Negative,-1
124,124,15435,641296515881762000,positive,"""Hey sugar junkies! Don't miss our Sugar Blues Workshop with Abbi Miller Holistic Nutrition + Yoga on Tuesday,... http://t.co/IGoPeJylSE""",2,positive,Positive,1
125,125,5537,632039636555051000,neutral,Sam Smith is tomorrow and I can't even with myself,1,negative,Neutral,0
126,126,16072,641677002395791000,neutral,WE ALL KNOW IT'S NOT ADELE. SHE ALREADY CONFIRMED NOVEMBER. apparently frank ocean has a album release party so i'm assuming it's not him,1,negative,Neutral,0
127,127,15914,641554532632170000,neutral,New post: MLB roundup: Blue Jays score four in the 10th to top Red Sox http://t.co/9GkICt2Msj,1,neutral,Neutral,0
128,128,1092,623360774300262000,positive,"""One of the Best Promo I've seen in years. Brock Lesnar confronts The Undertaker: Raw, July 20, 2015 https://t.co/2TDJw8e07U via @YouTube@WWE""",2,positive,Negative,-2
129,129,2992,626936819477819000,positive,Hope everyone checks out Rusty's Rockfeast: Backstage with the Zac Brown Band on fyi Thursday's at 10p!,2,positive,Positive,3
130,130,17310,670566886757826000,negative,Saturday kitchen the moment Chris Evans ruins chef  Jason athertons wife's birthday treat live@TheLadBible  https://t.co/OJCcRMiXKt,0,neutral,Positive,1
131,131,10925,638336767570092000,positive,@ChampionsLeague I'm backing the Bianconeri to go one further in the final &amp; win the #UCL on home soil in Milan in May. Pogba-inspired Juve!,2,positive,Positive,3
132,132,1747,624256502895890000,positive,"""So tomorrow when Calibraska comes out, everyone go get it and make it go to number 1! #CalibraskaEP""",2,positive,Positive,1
133,133,17186,669091053102764000,neutral,@EvokesThunder + hurt just faded away in that moment he sat in the dark with Thor.,1,neutral,Negative,-2
134,134,20057,680788851120455000,positive,i'm meeting justin bieber in april.... i don't think i'll ever shutup about this.,2,negative,Neutral,0
135,135,13954,640458340363993000,negative,Having a day off today yesterday went absolutely terribly and I was at foo fighters last night so will be back tomorrow. Enjoy your Sunday's,0,positive,Negative,-1
136,136,7726,635356400206651000,negative,@LilBeast03 I'm sad that Naruto (manga) is over and I'll probably cry when the anime ends. Kishimoto-san is coming to the US in October!!,0,negative,Negative,-2
137,137,4186,629823073852633000,neutral,"""@FariqBAzaha oh hahaha faham-faham. agaklah, kalau compare dengan nexus? is it still worth it to go for Moto G 3rd gen? kau rasa?""",1,neutral,Positive,1
138,138,20525,681646675467829000,neutral,"""@Gian2097 @TheMilanBible C'mon, the next Nesta? Says who? Think when comparing Inter and Milan's defence this season, Ausilio got it spot on""",1,neutral,Neutral,0
139,139,18100,674937930008256000,positive,It's Star Wars Day tomorrow at the office. Tempted to go to work in a really tight shirt and tell people I'm cosplaying Jabba the Hutt.,2,positive,Neutral,0
140,140,11282,638529260559441000,neutral,@DylanJHernandez Nope tomorrow uefa will decide as real madrid couldnt load up the document,1,neutral,Neutral,0
141,141,5716,632291081938407000,positive,U saw it here 1st Welcome to Miami! Ice Cube and Kevin Hart are back in #RideAlong2. See the brand new trailer here. https://t.co/pQqGCJiK2P,2,positive,Positive,1
142,142,8332,635955406095777000,neutral,Hey its monday come watch the White Sox take on the Red Sox $2.50 Miller Lite Drafts $4 Svedka Cocktails and 1/2... http://t.co/1s4RZqBNI0,1,neutral,Positive,1
143,143,9720,637440785198247000,neutral,Going to see SHAWN in October with my mains @camamillej @madisonetanner,1,positive,Neutral,0
144,144,18634,676522952477798000,neutral,Tomorrow will be the last day to vote! We have to vote harder if we want to take the 1st place! #MTVStars Lady Gaga https://t.co/LXnuYPIuSj,1,positive,Positive,1
145,145,9392,637082340762619000,neutral,@liamsautumn @hestulips Tomorrow will be a year since we waited out in the sun for hours to see Ed Sheeran at jimmy kimmel,1,positive,Neutral,0
146,146,12228,639236211723272000,positive,More Sheamus vs Randy Orton!! Because the #WWE universe just can't get enough! #WWENetwork  https://t.co/cWxwkilgfj,2,neutral,Positive,1
147,147,10054,637757593159659000,positive,Not a bad Saturday... Bit of Call of Duty Ghosts on PS4 with some MOTD.... Perfect!,2,positive,Positive,1
148,148,4338,630144218263089000,positive,Zac Brown Band tomorrow night with boy. SO EFFING EXCITED. Eeeeee!,2,positive,Positive,2
149,149,17346,670904334910144000,positive,"""I KNOW WE CAN MAKE IT TO 1ST PLACE #TrackOfTheDay Rest Your Love by The Vamps, found with @Shazam, Listen now: https://t.co/kXxdCxsz3k""",2,neutral,Neutral,0
150,150,11129,638470767550853000,neutral,Kanye West confuses me  this kind of made no sense LMFAO but I must say it had me cracking up https://t.co/i34elLEIua,1,negative,Neutral,0
151,151,5286,631631020413071000,negative,Mayweather may be a scumbag but he'd never come close to losing to Rousey. https://t.co/HXBlmH0Q6j,0,neutral,Negative,-2
152,152,12981,639825658928078000,positive,Had me at Iron Maiden and Amorphis. Mgla and Uncle Acid are just awesome bonuses. https://t.co/G1XBB5N3oI,2,positive,Positive,2
153,153,4852,630823456100233000,neutral,"""Just tested my Moto G (2nd gen) for the 'StageFright' exploit and it is vulnerable, so I changed to a patched SMS app, and set as default.""",1,neutral,Negative,-2
154,154,17606,672603988785803000,neutral,...which is quite ironic given the Paris attacks were staged false flag hits - (as was Charlie Hebdo in January)... https://t.co/YGJlphLJOV,1,negative,Negative,-2
155,155,12459,639438863346307000,neutral,"""To my students, we won't have class tomorrow. Please listen to led zeppelin, acdc, nirvana, foo fighters and of course the beatles. Thanks.""",1,neutral,Negative,-1
156,156,18391,675873894666932000,positive,"""Leader Inter moves 4 points clear with 4-0 win at Udinese: MILAN, Dec 13: Mauro Icardi hit... https://t.co/5q0a23m7RO via @RepublicaNepal""",2,neutral,Neutral,0
157,157,2247,625442778634256000,neutral,"""Josh Hamilton struck out swinging to end the Angels 13-7 win over the Rangers. The Angels are 1 game up on the Astros, who they play Tuesday""",1,neutral,Negative,-1
158,158,1580,624037599213187000,negative,"""Sharknado is the silliest film franchise so badly produced I cudnt stop laughing through the 2nd, I saw sharks flying n had to call it a day""",0,negative,Neutral,0
159,159,3503,628262743007731000,positive,"""Nigeria's military said Monday it had """"besieged"""" Boko Haram positions in the Islamist militant group's... http://t.co/m5T4Tno4VH""",2,negative,Negative,-1
160,160,7589,635194945717071000,neutral,Watch @RoyalBloodUK's interview with @lux1057 from backstage at the Foo Fighters show on Wednesday night --&gt; http://t.co/oOje8xfZ0G,1,neutral,Neutral,0
161,161,4356,630168871874334000,positive,"""Josh Hamilton may not be having a great year, but he's consistently delivered in crucial moments.""",2,positive,Positive,2
162,162,10215,637895248170065000,positive,Zayn is the only reason that I might watch the VMAs tomorrow,2,positive,Neutral,0
163,163,16259,661936233510215000,neutral,ive just discovered that there are people who dont like david bowie. may god have mercy on our souls.,1,neutral,Neutral,0
164,164,18795,677002986435043000,neutral,"""We wish we may, we wish we might...check out the newest Farmers Market at Twilight @MaynardsMarket #tucson #twilight https://t.co/b31UyNwrq3""",1,neutral,Neutral,0
165,165,15576,641359460347174000,negative,"""Niall posts three pictures in a day. None of them are of him. Tuesday, why are you so cruel?""",0,neutral,Negative,-3
166,166,17468,671695692184834000,negative,@spacegirlgail @darrenrichman all I think about w. Cate Blanchett is her odd accent in How To Train Your Dragon 2. Films may be wasted on me,0,neutral,Negative,-1
167,167,13138,639927523866861000,positive,"""In the Name of God, I pray for peace to all Muslims, Jews, Christians, world peoples. May all Praise and Glory be to God, forever!""",2,positive,Positive,1
168,168,14338,640695029107814000,neutral,Did I mention that for my brothers 17th birthday he asked for and received John Cena merch.,1,positive,Neutral,0
